rawGeofenceID,fullRegionID,geofenceDistance,geofenceType,storeID,storeLocationtext
50F4171CE3DD41F8A6D74258942979F9,gimbal:place:50F4171CE3DD41F8A6D74258942979F9:2329,2329,driveToStore,2329,Lincoln & Western Or Lawrence & Western
956CCFCDBD254292B7EF49EE1F0982B6,gimbal:place:956CCFCDBD254292B7EF49EE1F0982B6:2330-1,2330-1,storeEntry,2330,Northeast Corner Of Pr 159 & Pr 137
242712FD4CDE4BE587A087A0B89C15D9,gimbal:place:242712FD4CDE4BE587A087A0B89C15D9:2330,2330,driveToStore,2330,Northeast Corner Of Pr 159 & Pr 137
B0FF1F338B4349BA9CD9D6DE06E23496,gimbal:place:B0FF1F338B4349BA9CD9D6DE06E23496:2331,2331,driveToStore,2331,Golf & Elmhurst
C8FE3A661A2440518DE3A3B91454C606,gimbal:place:C8FE3A661A2440518DE3A3B91454C606:2331-1,2331-1,storeEntry,2331,Golf & Elmhurst
F3CBEA4E02144AAB8E12D3B996FC0172,gimbal:place:F3CBEA4E02144AAB8E12D3B996FC0172:2332-1,2332-1,storeEntry,2332,26Th & Albany
B7E3BD361EC64C7C958985A869A4ED08,gimbal:place:B7E3BD361EC64C7C958985A869A4ED08:2332,2332,driveToStore,2332,26Th & Albany
79AF2D8038D64DA38E85B77147EB1D96,gimbal:place:79AF2D8038D64DA38E85B77147EB1D96:2333-1,2333-1,storeEntry,2333,Ashford Ave Intersection Condado Ave
EB2C0A8EDA2A4A13ADADCEE389A893A6,gimbal:place:EB2C0A8EDA2A4A13ADADCEE389A893A6:2333,2333,driveToStore,2333,Ashford Ave Intersection Condado Ave
5812FD9908634F8CBD131B32637A271F,gimbal:place:5812FD9908634F8CBD131B32637A271F:2334,2334,driveToStore,2334,Southeast Corner Of Pr 857 & Pr 3
A38736ABCE8443FE80A2AB286F711BC2,gimbal:place:A38736ABCE8443FE80A2AB286F711BC2:2334-1,2334-1,storeEntry,2334,Southeast Corner Of Pr 857 & Pr 3
1310E366FE51463B9E48EB9A969A885B,gimbal:place:1310E366FE51463B9E48EB9A969A885B:2335-1,2335-1,storeEntry,2335,26Th & Pulaski
8A4E620FACAB44EE9F0CB76B8918F839,gimbal:place:8A4E620FACAB44EE9F0CB76B8918F839:2335,2335,driveToStore,2335,26Th & Pulaski
D8B4DFC2AFFE4ECF966E7583308E0F0A,gimbal:place:D8B4DFC2AFFE4ECF966E7583308E0F0A:2336-1,2336-1,storeEntry,2336,35Th Street & King Drive
69DF79C82182478BBE94BBC7F0946BCD,gimbal:place:69DF79C82182478BBE94BBC7F0946BCD:2336,2336,driveToStore,2336,35Th Street & King Drive
C0251C9612D84255A5C6250236114B0A,gimbal:place:C0251C9612D84255A5C6250236114B0A:2337,2337,driveToStore,2337,Wells & North Avenue
